Original_Sample_ID,Sample_ID,PFC_ID,STR_ID,HC_ID,CER_ID,HPT_ID,Group,PFC_weigh_mg,STR_weigh_mg,HC_weigh_mg,CER_weigh_mg,HPT_weigh_mg
3L,CTT01,CTT01PFC,CTT01STR,CTT01HC,CTT01CER,CTT01HPT,low,0.68,0.73,1.24,5.69,0.77
3C,CTT02,CTT02PFC,CTT02STR,CTT02HC,CTT02CER,CTT02HPT,control,0.53,0.71,0.79,5.29,0.4
4C,CTT03,CTT03PFC,CTT03STR,CTT03HC,CTT03CER,CTT03HPT,control,0.47,0.69,0.83,4.95,0.95
21'L,CTT04,CTT04PFC,CTT04STR,CTT04HC,CTT04CER,CTT04HPT,low,0.58,0.73,0.95,5.75,0.54
6.C,CTT05,CTT05PFC,CTT05STR,CTT05HC,CTT05CER,CTT05HPT,control,0.86,0.79,0.81,6.7,0.61
9H,CTT06,CTT06PFC,CTT06STR,CTT06HC,CTT06CER,CTT06HPT,high,0.81,0.73,0.71,5.83,0.61
9C,CTT07,CTT07PFC,CTT07STR,CTT07HC,CTT07CER,CTT07HPT,control,0.44,0.87,0.62,5.36,0.51
10H,CTT08,CTT08PFC,CTT08STR,CTT08HC,CTT08CER,CTT08HPT,high,0.46,1.02,0.66,4.82,0.33
10H:,CTT09,CTT09PFC,CTT09STR,CTT09HC,CTT09CER,CTT09HPT,high,0.58,0.47,0.95,4.32,0.29
12C,CTT10,CTT10PFC,CTT10STR,CTT10HC,CTT10CER,CTT10HPT,control,0.87,0.84,1.21,5.58,0.64
13H,CTT11,CTT11PFC,CTT11STR,CTT11HC,CTT11CER,CTT11HPT,high,0.71,1.02,1.23,5.39,0.56
13L,CTT12,CTT12PFC,CTT12STR,CTT12HC,CTT12CER,CTT12HPT,low,0.7,0.99,0.84,4.95,0.69
13C,CTT13,CTT13PFC,CTT13STR,CTT13HC,CTT13CER,CTT13HPT,control,0.73,1.2,0.7,5.78,0.62
14H,CTT14,CTT14PFC,CTT14STR,CTT14HC,CTT14CER,CTT14HPT,high,0.94,0.88,0.94,5.22,0.75
14C,CTT15,CTT15PFC,CTT15STR,CTT15HC,CTT15CER,CTT15HPT,control,0.9,0.59,1.08,6.38,0.8
15H,CTT16,CTT16PFC,CTT16STR,CTT16HC,CTT16CER,CTT16HPT,high,0.56,0.61,0.52,5.29,0.4
18H,CTT17,CTT17PFC,CTT17STR,CTT17HC,CTT17CER,CTT17HPT,high,0.55,0.83,1.05,5.3,0.45
18C,CTT18,CTT18PFC,CTT18STR,CTT18HC,CTT18CER,CTT18HPT,control,0.94,1.03,1.93,4.81,0.49
19H,CTT19,CTT19PFC,CTT19STR,CTT19HC,CTT19CER,CTT19HPT,high,0.48,0.75,1.2,5.52,0.57
19C,CTT20,CTT20PFC,CTT20STR,CTT20HC,CTT20CER,CTT20HPT,control,0.93,0.84,1.26,4.53,1.9
19L,CTT21,CTT21PFC,CTT21STR,CTT21HC,CTT21CER,CTT21HPT,low,0.85,0.68,0.9,5.35,0.82
20'L,CTT22,CTT22PFC,CTT22STR,CTT22HC,CTT22CER,CTT22HPT,low,0.69,0.81,1.32,4.65,0.78
20:L,CTT23,CTT23PFC,CTT23STR,CTT23HC,CTT23CER,CTT23HPT,low,0.71,0.82,0.75,4.64,0.45
5.C,CTT24,CTT24PFC,CTT24STR,CTT24HC,CTT24CER,CTT24HPT,control,0.49,1.22,0.74,4.37,0.38
21:L,CTT25,CTT25PFC,CTT25STR,CTT25HC,CTT25CER,CTT25HPT,low,0.76,0.8,1.2,4.15,0.76
17L,CTT26,CTT26PFC,CTT26STR,CTT26HC,CTT26CER,CTT26HPT,low,,,,,
